Sample Name,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
31,Sample,04/06/2023 03:05:41,04/06/2023 03:33:50,37,False,True,False,240,23500,493,2.1,1810,5.77,0.32,25300,493,1.95,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 03:05:41,04/06/2023 03:27:50,23100,1790,24900,1,3.9,,,,,,,,,,,
2,04/06/2023 03:27:50,04/06/2023 03:29:50,23200,1810,25000,1,3.9,,,,,,,,,,,
3,04/06/2023 03:29:50,04/06/2023 03:31:50,24100,1810,25900,1,3.9,,,,,,,,,,,
4,04/06/2023 03:31:50,04/06/2023 03:33:50,23300,1800,25100,1,3.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
32,Sample,04/06/2023 03:34:03,04/06/2023 04:02:11,38,False,True,False,240,21400,200,0.93,2050,11.5,0.56,23500,153,0.65,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 03:34:03,04/06/2023 03:56:11,21200,2050,23200,1,3.4,,,,,,,,,,,
2,04/06/2023 03:56:11,04/06/2023 03:58:10,21400,2060,23500,1,3.4,,,,,,,,,,,
3,04/06/2023 03:58:10,04/06/2023 04:00:11,21200,2060,23300,1,3.4,,,,,,,,,,,
4,04/06/2023 04:00:11,04/06/2023 04:02:11,21600,2040,23600,1,3.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
33,Sample,04/06/2023 04:02:24,04/06/2023 04:30:32,39,False,True,False,240,22200,265,1.19,1910,5.77,0.3,24100,265,1.1,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 04:02:24,04/06/2023 04:24:32,21500,1900,23400,1,3.6,,,,,,,,,,,
2,04/06/2023 04:24:32,04/06/2023 04:26:32,22300,1920,24200,1,3.6,,,,,,,,,,,
3,04/06/2023 04:26:32,04/06/2023 04:28:32,22400,1910,24300,1,3.6,,,,,,,,,,,
4,04/06/2023 04:28:32,04/06/2023 04:30:32,21900,1910,23800,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
34,Sample,04/06/2023 04:30:45,04/06/2023 04:58:54,40,False,True,False,240,21000,100,0.48,1730,5.77,0.33,22700,100,0.44,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 04:30:45,04/06/2023 04:52:53,21700,1710,23400,1,3.4,,,,,,,,,,,
2,04/06/2023 04:52:53,04/06/2023 04:54:53,21100,1730,22800,1,3.4,,,,,,,,,,,
3,04/06/2023 04:54:53,04/06/2023 04:56:54,21000,1730,22700,1,3.4,,,,,,,,,,,
4,04/06/2023 04:56:54,04/06/2023 04:58:54,20900,1720,22600,1,3.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
35,Sample,04/06/2023 04:59:09,04/06/2023 05:27:17,41,False,True,False,240,22600,231,1.02,2470,5.77,0.23,25100,231,0.92,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 04:59:09,04/06/2023 05:21:17,22300,2430,24700,1,3.7,,,,,,,,,,,
2,04/06/2023 05:21:17,04/06/2023 05:23:17,22900,2460,25400,1,3.7,,,,,,,,,,,
3,04/06/2023 05:23:17,04/06/2023 05:25:17,22500,2470,25000,1,3.7,,,,,,,,,,,
4,04/06/2023 05:25:17,04/06/2023 05:27:17,22500,2470,25000,1,3.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
36,Sample,04/06/2023 05:27:31,04/06/2023 05:55:40,42,False,True,False,240,22400,473,2.11,1800,5.77,0.32,24200,473,1.96,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 05:27:31,04/06/2023 05:49:40,22100,1770,23900,1,3.6,,,,,,,,,,,
2,04/06/2023 05:49:40,04/06/2023 05:51:40,22900,1800,24700,1,3.6,,,,,,,,,,,
3,04/06/2023 05:51:40,04/06/2023 05:53:40,22200,1810,24000,1,3.6,,,,,,,,,,,
4,04/06/2023 05:53:40,04/06/2023 05:55:40,22000,1800,23800,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IB6,Sample,04/06/2023 05:55:53,04/06/2023 06:24:01,43,False,True,False,240,171,4.58,2.68,102,6.08,5.96,273,8.54,3.13,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 05:55:53,04/06/2023 06:18:01,169,83,252,0.3,0,,,,,,,,,,,
2,04/06/2023 06:18:01,04/06/2023 06:20:01,170,95,265,0.3,0,,,,,,,,,,,
3,04/06/2023 06:20:01,04/06/2023 06:22:01,176,106,282,0.3,0,,,,,,,,,,,
4,04/06/2023 06:22:01,04/06/2023 06:24:01,167,105,272,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
37,Sample,04/06/2023 06:24:14,04/06/2023 06:52:32,44,False,True,False,240,20800,265,1.27,2460,11.5,0.47,23300,265,1.14,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 06:24:14,04/06/2023 06:46:31,20600,2450,23000,1,3.3,,,,,,,,,,,
2,04/06/2023 06:46:31,04/06/2023 06:48:31,20500,2470,23000,1,3.3,,,,,,,,,,,
3,04/06/2023 06:48:31,04/06/2023 06:50:32,20900,2470,23400,1,3.3,,,,,,,,,,,
4,04/06/2023 06:50:32,04/06/2023 06:52:32,21000,2450,23500,1,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
38,Sample,04/06/2023 06:52:44,04/06/2023 07:20:52,45,False,True,False,240,21600,208,0.96,1970,5.77,0.29,23600,208,0.88,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 06:52:44,04/06/2023 07:14:52,21800,1970,23800,1,3.5,,,,,,,,,,,
2,04/06/2023 07:14:52,04/06/2023 07:16:52,21800,1970,23800,1,3.5,,,,,,,,,,,
3,04/06/2023 07:16:52,04/06/2023 07:18:52,21700,1970,23700,1,3.5,,,,,,,,,,,
4,04/06/2023 07:18:52,04/06/2023 07:20:52,21400,1960,23400,1,3.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
39,Sample,04/06/2023 07:21:04,04/06/2023 07:49:12,46,False,True,False,240,21600,473,2.19,1990,10,0.5,23600,473,2.01,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 07:21:04,04/06/2023 07:43:12,20400,1990,22400,1,3.4,,,,,,,,,,,
2,04/06/2023 07:43:12,04/06/2023 07:45:12,22100,2000,24100,1,3.4,,,,,,,,,,,
3,04/06/2023 07:45:12,04/06/2023 07:47:13,21400,1990,23400,1,3.4,,,,,,,,,,,
4,04/06/2023 07:47:13,04/06/2023 07:49:12,21200,1980,23200,1,3.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40,Sample,04/06/2023 07:49:25,04/06/2023 08:17:33,47,False,True,False,240,21300,100,0.47,2000,5.77,0.29,23300,100,0.43,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 07:49:25,04/06/2023 08:11:33,21100,1990,23100,1,3.4,,,,,,,,,,,
2,04/06/2023 08:11:33,04/06/2023 08:13:33,21300,2000,23300,1,3.4,,,,,,,,,,,
3,04/06/2023 08:13:33,04/06/2023 08:15:33,21400,2000,23400,1,3.4,,,,,,,,,,,
4,04/06/2023 08:15:33,04/06/2023 08:17:33,21200,1990,23200,1,3.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
41,Sample,04/06/2023 08:17:46,04/06/2023 08:45:54,48,False,True,False,240,20300,416,2.05,2130,0,0,22400,416,1.86,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 08:17:46,04/06/2023 08:39:54,19800,2130,21900,1,3.2,,,,,,,,,,,
2,04/06/2023 08:39:54,04/06/2023 08:41:53,20000,2130,22100,1,3.2,,,,,,,,,,,
3,04/06/2023 08:41:53,04/06/2023 08:43:53,20800,2130,22900,1,3.2,,,,,,,,,,,
4,04/06/2023 08:43:53,04/06/2023 08:45:54,20200,2130,22300,1,3.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
42,Sample,04/06/2023 08:46:07,04/06/2023 09:14:14,49,False,True,False,240,20600,200,0.97,1780,11.5,0.65,22400,200,0.89,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 08:46:07,04/06/2023 09:08:14,20600,1780,22400,1,3.3,,,,,,,,,,,
2,04/06/2023 09:08:14,04/06/2023 09:10:14,20600,1790,22400,1,3.3,,,,,,,,,,,
3,04/06/2023 09:10:14,04/06/2023 09:12:14,20800,1770,22600,1,3.3,,,,,,,,,,,
4,04/06/2023 09:12:14,04/06/2023 09:14:14,20400,1770,22200,1,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
43,Sample,04/06/2023 09:14:28,04/06/2023 09:42:36,50,False,True,False,240,12800,57.7,0.45,1990,5.77,0.29,14800,57.7,0.39,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 09:14:28,04/06/2023 09:36:35,12700,1980,14700,1,2.1,,,,,,,,,,,
2,04/06/2023 09:36:35,04/06/2023 09:38:36,12800,2000,14800,1,2.1,,,,,,,,,,,
3,04/06/2023 09:38:36,04/06/2023 09:40:35,12700,1990,14700,1,2.1,,,,,,,,,,,
4,04/06/2023 09:40:35,04/06/2023 09:42:36,12800,1990,14800,1,2.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
44,Sample,04/06/2023 09:42:53,04/06/2023 10:10:59,51,False,True,False,240,19500,300,1.54,2520,5.77,0.23,22000,300,1.36,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 09:42:53,04/06/2023 10:04:59,19500,2490,22000,1,3,,,,,,,,,,,
2,04/06/2023 10:04:59,04/06/2023 10:06:59,19800,2510,22300,1,3,,,,,,,,,,,
3,04/06/2023 10:06:59,04/06/2023 10:08:59,19500,2520,22000,1,3,,,,,,,,,,,
4,04/06/2023 10:08:59,04/06/2023 10:10:59,19200,2520,21700,1,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
45,Sample,04/06/2023 10:11:12,04/06/2023 10:39:20,52,False,True,False,240,22500,300,1.33,2220,0,0,24700,300,1.21,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 10:11:12,04/06/2023 10:33:19,22500,2190,24700,1,3.6,,,,,,,,,,,
2,04/06/2023 10:33:19,04/06/2023 10:35:19,22500,2220,24700,1,3.6,,,,,,,,,,,
3,04/06/2023 10:35:20,04/06/2023 10:37:19,22200,2220,24400,1,3.6,,,,,,,,,,,
4,04/06/2023 10:37:19,04/06/2023 10:39:20,22800,2220,25000,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IB7,Sample,04/06/2023 10:39:33,04/06/2023 11:07:41,53,False,True,False,240,164,15.3,9.35,106,7.18,6.76,270,21.9,8.12,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/06/2023 10:39:33,04/06/2023 11:01:41,207,112,319,0.3,0,,,,,,,,,,,
2,04/06/2023 11:01:41,04/06/2023 11:03:41,181,113,294,0.3,0,,,,,,,,,,,
3,04/06/2023 11:03:41,04/06/2023 11:05:41,158,107,265,0.3,0,,,,,,,,,,,
4,04/06/2023 11:05:41,04/06/2023 11:07:41,152,98.7,251,0.3,0,,,,,,,,,,,
